Microregião,CNPJ,Cod_Cliente1,T.O. 25kg,T.O. 50kg,Est. 40kg,Est. 50kg,códigos analisados,Pode Sanear Micro?,Códigos a retirar,Comentario E.I.
VC-TATUI','19408667000407','1633457',1,2,0,1,"CÓDIGO: 6054172, CÓDIGO: 6111677, CÓDIGO: 6054180, CÓDIGO: 6135552",,,
VC-TELEMACO BORBA','32385540000127','1545459',1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6111677, CÓDIGO: 6054190",,,
VC-TESOURO','13858125000107','1524826',1,2,0,1,"CÓDIGO: 6054184, CÓDIGO: 6054187, CÓDIGO: 6111677, CÓDIGO: 6132938",,,
VC-TIJUCAS','15609494000183','1529840',1,3,0,0,"CÓDIGO: 6054186, CÓDIGO: 6111677, CÓDIGO: 6054190, CÓDIGO: 6054205",,,
VC-TOBIAS BARRETO','44553726000127','1648671',1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677, CÓDIGO: 6054178",,,
VC-TOLEDO','45193186000180','1647557',1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6111677, CÓDIGO: 6054190",,,
VC-TOME-ACU','18785185000152','1553294',0,2,0,0,"CÓDIGO: 6111677, CÓDIGO: 6054178",,,
VC-TRAIPU','14582505000116','1500317',1,2,0,0,"CÓDIGO: 6161835, CÓDIGO: 6111677, CÓDIGO: 6054178",,,
VC-TRES LAGOAS','28923663000288','1624286',0,4,0,0,"CÓDIGO: 6054157, CÓDIGO: 6054187, CÓDIGO: 6165750, CÓDIGO: 6111677",,,
VC-TRES PASSOS','97320451010968','1601426',1,3,0,0,"CÓDIGO: 6054186, CÓDIGO: 6111677, CÓDIGO: 6054190, CÓDIGO: 6054205",,,
VC-TRES RIOS','31199466000191','1632819',0,2,0,0,"CÓDIGO: 6187066, CÓDIGO: 6111677",,,
VC-TUBARAO','06983760000142','1634790',1,2,0,0,"CÓDIGO: 6054186, CÓDIGO: 6111677, CÓDIGO: 6054205",,,
VC-TUPA','28963616000187','1473435',1,2,0,1,"CÓDIGO: 6054172, CÓDIGO: 6111677, CÓDIGO: 6054180, CÓDIGO: 6135552",,,
VC-UBA','43364978000145','1627657',0,2,0,1,"CÓDIGO: 6187066, CÓDIGO: 6111677, CÓDIGO: 6162599",,,
