CNPJ,Cod_Cliente1,Regiao,T.O. 25kg,T.O. 42kg,T.O. 50kg,Est. 40kg,Est. 50kg,códigos analisados,duplicidade,códigos a sanear,comentário E.I.
-,1504091,VC-PARINTINS,0,4,0,0,0," código: 6194008 ,  código: 6186726 ,  código: 6180506 ,  código: 8020201 ",sim,,
-,1030936,VC-ALTO CAPIBARIBE,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1287515,VC-ALTAMIRA,0,0,1,0,0, código: 6111677 ,não,,
-,795,VC-AQUIDAUANA,0,0,1,0,0, código: 6054157 ,não,,
-,1004915,VC-ITAJUBA,0,0,1,0,0, código: 6165750 ,não,,
-,1066636,VC-PARAGOMINAS,0,0,1,0,0, código: 6054178 ,não,,
-,1594359,VC-CAMPINA GRANDE,1,0,1,0,0," código: 6193629 ,  código: 6054188 ",não,,
-,1254608,VC-PARANAVAI,1,0,1,0,0," código: 6054204 ,  código: 6054190 ",não,,
-,1488448,VC-ARARANGUA,1,0,1,0,0," código: 6054204 ,  código: 6054205 ",não,,
-,1343339,VC-ITUPORANGA,1,0,1,0,0," código: 6054204 ,  código: 6054190 ",não,,
-,1452149,VC-CACOAL,1,0,1,0,0," código: 6054184 ,  código: 6165750 ",não,,
-,1363577,VC-OSORIO,1,0,1,0,0," código: 6054204 ,  código: 6054205 ",não,,
-,1055730,VC-ARINOS,1,0,1,0,0," código: 6054184 ,  código: 6165750 ",não,,
-,1343779,VC-PRIMAVERA LESTE,1,0,1,0,0," código: 6054184 ,  código: 6054187 ",não,,
-,1292138,VC-CASCAVEL (PR),1,0,1,0,0," código: 6054204 ,  código: 6054190 ",não,,
-,1573004,VC-LAPA,0,0,1,0,0, código: 6054190 ,não,,
-,1618121,VC-BIRIGUI,1,0,1,0,0," código: 6172139 ,  código: 6165750 ",não,,
-,1601585,VC-STA MARIA VITORI,0,0,1,0,0, código: 6135560 ,não,,
-,1569953,VC-PIRASSUNUNGA,1,0,1,0,0," código: 6172139 ,  código: 6165750 ",não,,
-,1432589,VC-JUIZ DE FORA,0,0,1,0,0, código: 6187066 ,não,,
-,1621267,VC-CHAPADINHA,0,0,1,0,0, código: 6111677 ,não,,
-,1578555,VC-SAO PAULO,1,0,1,0,0," código: 6054172 ,  código: 6054180 ",não,,
-,1464283,VC-JALES,1,0,1,0,0," código: 6172139 ,  código: 6165750 ",não,,
-,1056299,VC-TABULEIRO,0,0,1,0,0, código: 6054205 ,não,,
-,1483493,VC-PATO BRANCO,1,0,1,0,0," código: 6054204 ,  código: 6054190 ",não,,
-,1548690,VC-CANTAGALO-CORDEI,1,0,1,0,0," código: 6112143 ,  código: 6187066 ",não,,
-,1590259,VC-BERTOLINIA,0,0,1,0,0, código: 6111677 ,não,,
-,1006170,VC-RIO NEGRO (PR),1,0,1,0,0," código: 6054204 ,  código: 6054190 ",não,,
-,1390765,VC-JUAZEIRO,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1578261,VC-BRASILIA,1,0,1,1,0," código: 6172311 ,  código: 6135560 ,  código: 6192188 ",não,,
-,1354997,VC-BAIXO CURU,0,0,1,0,0, código: 6191541 ,não,,
-,1505179,VC-CARAZINHO,1,0,1,0,0," código: 6054204 ,  código: 6054190 ",não,,
-,1068655,VC-PROPRIA,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1409835,VC-CANARANA,1,0,1,0,0," código: 6054184 ,  código: 6135560 ",não,,
-,1583408,VC-IMPERATRIZ,0,0,1,0,0, código: 6111677 ,não,,
-,1674859,VC-MANHUACU,0,0,1,0,0, código: 6187066 ,não,,
-,1052304,VC-SAO BENTO DO SUL,1,0,2,0,0," código: 6054204 ,  código: 6054190 ,  código: 6054205 ",sim,,
-,1051231,VC-FAXINAL,1,0,1,0,0," código: 6054204 ,  código: 6054190 ",não,,
-,1045571,VC-ASTORGA,1,0,1,0,0," código: 6054204 ,  código: 6054190 ",não,,
-,1471197,VC-VALE DO IPOJUCA,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1606737,VC-COREAU,0,0,1,0,0, código: 6111677 ,não,,
-,1311941,VC-VITORIA ST ANTAO,1,0,1,0,0," código: 6193629 ,  código: 6054188 ",não,,
-,1612700,VC-URUBURETAMA,0,0,1,0,0, código: 6191541 ,não,,
-,1665971,VC-TRES RIOS,0,0,1,0,0, código: 6187066 ,não,,
-,1584941,VC-CATU,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1286607,VC-ITAJAI,1,0,1,0,0," código: 6054204 ,  código: 6054205 ",não,,
-,1387196,VC-RIO BRANCO,0,0,1,0,0, código: 6120895 ,não,,
-,1611974,VC-PIO IX,1,0,1,0,0," código: 6193629 ,  código: 6111677 ",não,,
-,1481812,VC-PATROCINIO,0,0,1,0,0, código: 6165750 ,não,,
-,1336442,VC-RIO FORMOSO,0,0,1,0,0, código: 6054158 ,não,,
-,1345360,VC-FLORIANO,0,0,1,0,0, código: 6111677 ,não,,
-,1061771,VC-DRACENA,1,0,1,0,0," código: 6054172 ,  código: 6054180 ",não,,
-,1200584,VC-CAMPO GRANDE,0,0,1,0,0, código: 6054157 ,não,,
-,1630064,VC-CAMPOS DO JORDAO,1,0,1,0,0," código: 6054172 ,  código: 6054180 ",não,,
-,1057158,VC-RIO VERMELHO,0,0,1,1,0," código: 6135560 ,  código: 6192188 ",não,,
-,1004934,VC-BRAGANCA PAULIST,1,0,1,0,0," código: 6054172 ,  código: 6054180 ",não,,
-,1435860,VC-GARANHUNS,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1669980,VC-N SENHORA DORES,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1308609,VC-MATA ALAGOANA,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1051563,VC-VARGINHA,1,0,1,0,0," código: 6172139 ,  código: 6165750 ",não,,
-,1503467,VC-RIO CLARO,2,0,1,0,0," código: 6172139 ,  código: 6054172 ,  código: 6165750 ",não,,
-,1070641,VC-SOBRAL,0,0,1,0,0, código: 6111677 ,não,,
-,1044306,VC-CAPANEMA,1,0,1,0,0," código: 6054204 ,  código: 6054190 ",não,,
-,1523425,VC-SERRANA,1,0,1,0,0," código: 6187067 ,  código: 6187066 ",não,,
-,1640929,VC-SEABRA,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1055879,VC-CAMPO MOURAO,1,0,1,0,0," código: 6054204 ,  código: 6054190 ",não,,
-,1349316,VC-CAXIAS,0,0,1,0,0, código: 6111677 ,não,,
-,1234277,VC-ESTANCIA,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1050402,VC-MONTENEGRO,1,0,1,0,0," código: 6054204 ,  código: 6054205 ",não,,
-,1459204,VC-S JOAQUIM BARRA,1,0,1,0,0," código: 6172139 ,  código: 6165750 ",não,,
-,1148950,VC-ARAGUAINA,0,0,1,0,0, código: 6054158 ,não,,
-,1658809,VC-BATALHA,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1254873,VC-CHOROZINHO,0,0,1,0,0, código: 6191541 ,não,,
-,1617855,VC-BICO DO PAPAGAIO,0,0,1,0,0, código: 6054158 ,não,,
-,1393597,VC-REDENCAO,0,0,1,0,0, código: 6111677 ,não,,
-,1507595,VC-ARAPIRACA,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1389023,VC-ASSAI,1,0,1,0,0," código: 6054204 ,  código: 6054190 ",não,,
-,1672682,VC-PRUDENTOPOLIS,0,0,1,0,0, código: 6054190 ,não,,
-,1626489,VC-CUIABA,1,0,1,0,0," código: 6054184 ,  código: 6054187 ",não,,
-,1054800,VC-CACHOEIRA DO SUL,0,0,1,0,0, código: 6054205 ,não,,
-,1202812,VC-MED PARNAI PIAUI,0,0,1,0,0, código: 6111677 ,não,,
-,1393156,VC-BLUMENAU,1,0,2,0,0," código: 6054204 ,  código: 6054190 ,  código: 6054205 ",sim,,
-,1459356,VC-STA M MADALENA,0,0,1,0,0, código: 6187066 ,não,,
-,1513543,VC-ALTO ME CANINDE,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1658784,VC-S RAIMUNDO NONAT,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1313415,VC-UBERLANDIA,1,0,1,0,0," código: 6172139 ,  código: 6165750 ",não,,
-,1462465,VC-UMARIZAL,0,0,1,0,0, código: 6111677 ,não,,
-,1419734,VC-NOVA ANDRADINA,0,0,1,0,0, código: 6054190 ,não,,
-,1641162,VC-PICOS,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1213472,VC-CARAGUATATUBA,1,0,2,0,0," código: 6054172 ,  código: 6187066 ,  código: 6054180 ",sim,,
-,1526040,VC-GUARATINGUETA,1,0,1,0,0," código: 6054172 ,  código: 6187066 ",não,,
-,1448335,VC-ITAPARICA,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1622535,VC-BARRO,0,0,1,0,0, código: 6111677 ,não,,
-,1485347,VC-TESOURO,1,0,1,0,0," código: 6054184 ,  código: 6054187 ",não,,
-,1310461,VC-IBIAPABA,0,0,1,0,0, código: 6111677 ,não,,
-,1432007,VC-BRUMADO,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1410575,VC-ALTO PARAGUAI,1,0,1,0,0," código: 6054184 ,  código: 6165750 ",não,,
-,1399759,VC-CAMPANHA OCIDENT,1,0,1,0,0," código: 6054204 ,  código: 6054205 ",não,,
-,1053982,VC-MARILIA,1,0,1,0,0," código: 6054172 ,  código: 6054180 ",não,,
-,1553554,VC-SANTA QUITERIA,0,0,1,0,0, código: 6111677 ,não,,
-,1568958,VC-ITUIUTABA,1,0,1,0,0," código: 6172139 ,  código: 6165750 ",não,,
-,1436600,VC-DIVINOPOLIS,0,0,1,0,0, código: 6165750 ,não,,
-,1452258,VC-PIRES DO RIO,0,0,1,1,0," código: 6135560 ,  código: 6192188 ",não,,
-,1637873,VC-BREJO SANTO,1,0,1,0,0," código: 6193629 ,  código: 6111677 ",não,,
-,1549819,VC-FRUTAL,1,0,1,0,0," código: 6172139 ,  código: 6165750 ",não,,
-,1673202,VC-COELHO NETO,0,0,1,0,0, código: 6111677 ,não,,
-,1344160,VC-CRUZ ALTA,1,0,2,0,0," código: 6054204 ,  código: 6054190 ,  código: 6054205 ",sim,,
-,1585579,VC-PORTO NACIONAL,0,0,1,0,0, código: 6054158 ,não,,
-,1429923,VC-SINOP,1,0,1,0,0," código: 6054184 ,  código: 6165750 ",não,,
-,1656336,VC-LONDRINA,1,0,1,0,0," código: 6054204 ,  código: 6054190 ",não,,
-,1642773,VC-MARABA,0,0,1,0,0, código: 6111677 ,não,,
-,1387935,VC-TOME-ACU,0,0,1,0,0, código: 6054178 ,não,,
-,1555805,VC-ITANHAEM,1,0,1,0,0," código: 6054172 ,  código: 6054180 ",não,,
-,1636979,VC-CAMPO MAIOR,0,0,1,0,0, código: 6111677 ,não,,
-,1628575,VC-CACHOEIRO ITAPEM,0,0,1,0,0, código: 6187066 ,não,,
-,1441788,VC-VALE R DOS BOIS,0,0,1,1,0," código: 6135560 ,  código: 6192188 ",não,,
-,1240566,VC-TUBARAO,1,0,1,0,0," código: 6054204 ,  código: 6054205 ",não,,
-,1142537,VC-JOAO PESSOA,1,0,1,0,0," código: 6193629 ,  código: 6054188 ",não,,
-,1056705,VC-GUAPORE,1,0,1,0,0," código: 6054204 ,  código: 6054205 ",não,,
-,1620855,VC-CATAGUASES,0,0,1,0,0, código: 6187066 ,não,,
-,1500317,VC-TRAIPU,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1394277,VC-PINDARE,0,0,1,0,0, código: 6054178 ,não,,
-,1196460,VC-BX PARNAIB PIAUI,0,0,1,0,0, código: 6111677 ,não,,
-,1134195,VC-JOINVILLE,1,0,2,0,0," código: 6054204 ,  código: 6054190 ,  código: 6054205 ",sim,,
-,1667214,VC-GUANAMBI,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1607249,VC-SAPE,0,0,1,0,0, código: 6054188 ,não,,
-,1639260,VC-BARRA S FRANCISC,0,0,1,0,0, código: 6187066 ,não,,
-,1450732,VC-ARACAJU,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1362204,VC-VALENCA DO PIAUI,0,0,1,0,0, código: 6111677 ,não,,
-,1528266,VC-PARAUAPEBAS,0,0,1,0,0, código: 6111677 ,não,,
-,1609269,VC-DIANOPOLIS,0,0,1,0,0, código: 6135560 ,não,,
-,1589398,VC-ALTO GUAPORE,1,0,1,0,0," código: 6054184 ,  código: 6054187 ",não,,
-,1526777,VC-VAO DO PARANA,0,0,1,0,0, código: 6135560 ,não,,
-,1616493,VC-PIRACICABA,1,0,1,0,0," código: 6054172 ,  código: 6054180 ",não,,
-,1606256,VC-LAJEADO-ESTRELA,1,0,1,0,0," código: 6054204 ,  código: 6054205 ",não,,
-,1254378,VC-SAO MATEUS D SUL,0,0,1,0,0, código: 6054190 ,não,,
-,1664620,VC-MEDIO JAGUARIBE,0,0,1,0,0, código: 6111677 ,não,,
-,1664957,VC-S JOSE DO R PRET,1,0,1,0,0," código: 6172139 ,  código: 6165750 ",não,,
-,1669201,VC-MARINGA,1,0,1,0,0," código: 6054204 ,  código: 6054190 ",não,,
-,1612512,VC-ALFENAS,1,0,1,0,0," código: 6172139 ,  código: 6165750 ",não,,
-,1482768,VC-CARIRIACU,1,0,1,0,0," código: 6193629 ,  código: 6111677 ",não,,
-,1475118,VC-PORTO SEGURO,1,0,1,0,0," código: 6193629 ,  código: 6054178 ",não,,
-,1469906,VC-ALVORADA DOESTE,1,0,1,0,0," código: 6054184 ,  código: 6165750 ",não,,
-,1549363,VC-SANTA MARIA,1,0,1,0,0," código: 6054204 ,  código: 6054205 ",não,,
-,1513125,VC-JACAREZINHO,1,0,1,0,0," código: 6054172 ,  código: 6054180 ",não,,
